"IDTransakcji","DataSprzedazy","DataWysylki","IDKanalu","Ilosc","CenaJednostkowa","Rabat","KosztJednostkowy","ProduktSurowy","KlientSurowy","Region","StatusZamowienia","NotatkaTechniczna","Kanal","TypKanalu"
"T000024","2026-10-16","19-10-26","K02","4","81.59","0.05","38.53","P003 | Produkt szkoleniowy 03 | Akcesoria","Klient 0473  ;  B2B","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T000025","27-04-26","2026-04-28","K04","3","114.86","0","70.87","P001 | Produkt szkoleniowy 01 | Komputery","Klient 0227  ;  VIP","Południe","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T000026","28-11-25","2025-12-01","K01","2","132.05","0","78.97","P021 | Produkt szkoleniowy 21 | Komputery","Klient 0333  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T000027","18-09-25","21-09-25","K03","4","104.83","0.1","58.20","P046 | Produkt szkoleniowy 46 | Elektronika","Klient 0047  ;  VIP","Południe","W realizacji","import_batch_02","Partner","B2B / Partner"
"T000028","05-10-26","06-10-26","K02","1","80.41","0.1","39.29","P003 | Produkt szkoleniowy 03 | Akcesoria","Klient 0387  ;  VIP","Zachód","Anulowane","legacy_source","Sklep","Retail"
"T000029","24-06-26","28-06-26","K01","6","151.96","0","96.30","P005 | Produkt szkoleniowy 05 | Komputery","Klient 0281  ;  B2B","Wschód","Zrealizowane","legacy_source","Online","E-commerce"
"T000030","2026-10-02","06-10-26","K02","1","76.68","0.2","42.91","P018 | Produkt szkoleniowy 18 | Elektronika","Klient 0157  ;  B2B","Zachód","Zrealizowane","import_batch_02","Sklep","Retail"
"T000031","2025-05-02","2025-05-06","K02","2","74.11","0.2","36.51","P011 | Produkt szkoleniowy 11 | Akcesoria","Klient 0388  ;  detal","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T000032","14-10-25","16-10-25","K04","2","102.38","0.2","60.05","P002 | Produkt szkoleniowy 02 | Elektronika","Klient 0183  ;  VIP","Południe","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T000033","2025-12-08","11-12-25","K03","13","140.81","0.1","84.57","P049 | Produkt szkoleniowy 49 | Komputery","Klient 0111  ;  VIP","Południe","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T000034","15-05-26","18-05-26","K03","6","104.57","0.1","24.32","P016 | Produkt szkoleniowy 16 | Oprogramowanie","Klient 0499  ;  VIP","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T000035","30-06-25","04-07-25","K02","7","104.99","0.1","60.58","P046 | Produkt szkoleniowy 46 | Elektronika","Klient 0370  ;  B2C","Północ","Zrealizowane","legacy_source","Sklep","Retail"
"T000036","2026-09-25","26-09-26","K02","5","102.70","0.1","23.97","P012 | Produkt szkoleniowy 12 | Oprogramowanie","Klient 0333  ;  B2B","Zachód","Zrealizowane","import_batch_02","Sklep","Retail"
"T000037","06-10-26","08-10-26","K04","2","177.09","0.05","114.96","P005 | Produkt szkoleniowy 05 | Komputery","Klient 0195  ;  VIP","Wschód","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T000038","2025-07-09","2025-07-10","K01","10","68.67","0.05","32.69","P011 | Produkt szkoleniowy 11 | Akcesoria","Klient 0201  ;  B2B","Wschód","Zrealizowane","legacy_source","Online","E-commerce"
"T000039","25-04-25","02-05-25","K01","2","144.35","0","93.02","P005 | Produkt szkoleniowy 05 | Komputery","Klient 0165  ;  B2B","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T000040","2026-09-28","30-09-26","K04","3","115.23","0.1","70.60","P009 | Produkt szkoleniowy 09 | Komputery","Klient 0177  ;  B2B","Południe","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T000041","10-11-26","12-11-26","K01","9","89.40","0","40.02","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0105  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T000042","13-04-26","17-04-26","K01","6","102.21","0.05","60.58","P046 | Produkt szkoleniowy 46 | Elektronika","Klient 0495  ;  VIP","Południe","W realizacji","import_batch_02","Online","E-commerce"
"T000043","2026-10-06","08-10-26","K01","5","149.71","0","87.59","P026 | Produkt szkoleniowy 26 | Elektronika","Klient 0119  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T000044","25-02-25","01-03-25","K01","10","128.39","0.1","32.38","P044 | Produkt szkoleniowy 44 | Oprogramowanie","Klient 0259  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T000045","2026-06-12","17-06-26","K01","10","131.80","0.05","30.90","P016 | Produkt szkoleniowy 16 | Oprogramowanie","Klient 0171  ;  VIP","Zachód","Zrealizowane","import_batch_02","Online","E-commerce"
"T000046","2026-11-03","07-11-26","K02","7","124.28","0.1","70.39","P030 | Produkt szkoleniowy 30 | Elektronika","Klient 0316  ;  Detal","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T000047","05-11-26","07-11-26","K02","2","128.09","0.05","30.78","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0005  ;  B2B","Południe","W realizacji","legacy_source","Sklep","Retail"
"T000048","2026-07-31","02-08-26","K03","16","136.67","0.1","33.55","P044 | Produkt szkoleniowy 44 | Oprogramowanie","Klient 0329  ;  B2B","Zachód","Anulowane","import_batch_02","Partner","B2B / Partner"
"T000049","22-06-26","23-06-26","K03","17","112.62","0.1","27.77","P044 | Produkt szkoleniowy 44 | Oprogramowanie","Klient 0122  ;  B2C","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T000050","17-06-26","24-06-26","K01","4","136.15","0.2","32.04","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0314  ;  B2C","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T000051","14-09-26","2026-09-16","K03","5","103.87","0.05","46.92","P043 | Produkt szkoleniowy 43 | Akcesoria","Klient 0389  ;  B2B","Wschód","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T000052","18-11-25","22-11-25","K01","1","75.61","0.1","43.14","P018 | Produkt szkoleniowy 18 | Elektronika","Klient 0264  ;  Detal","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T000053","2026-06-15","2026-06-18","K04","1","69.45","0","32.64","P011 | Produkt szkoleniowy 11 | Akcesoria","Klient 0189  ;  B2B","Południe","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T000054","2026-11-04","08-11-26","K01","7","144.03","0.2","77.97","P042 | Produkt szkoleniowy 42 | Elektronika","Klient 0159  ;  VIP","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T000055","2025-11-13","2025-11-17","K02","2","72.19","0","35.12","P019 | Produkt szkoleniowy 19 | Akcesoria","Klient 0415    ;  VIP","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T000056","2025-10-08","2025-10-12","K02","6","87.58","0","51.31","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0414  ;  B2C","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T000057","17-12-25","2025-12-19","K04","3","126.34","0.05","32.07","P044 | Produkt szkoleniowy 44 | Oprogramowanie","Klient 0400  ;  Detal","Południe","Zrealizowane","import_batch_02","Telefon","Inside Sales"
"T000058","03-07-26","07-07-26","K03","16","87.44","0.1","41.59","P015 | Produkt szkoleniowy 15 | Akcesoria","Klient 0451  ;  VIP","Północ","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T000059","28-08-25","31-08-25","K01","2","86.27","0.1","22.51","P040 | Produkt szkoleniowy 40 | Oprogramowanie","Klient 0403  ;  VIP","Zachód","W realizacji","legacy_source","Online","E-commerce"
"T000060","17-05-25","19-05-25","K04","2","135.12","0.05","73.60","P014 | Produkt szkoleniowy 14 | Elektronika","Klient 0023  ;  VIP","Zachód","Zrealizowane","import_batch_02","Telefon","Inside Sales"
"T000061","2026-12-04","06-12-26","K01","6","193.18","0","124.36","P033 | Produkt szkoleniowy 33 | Komputery","Klient 0384  ;  Detal","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T000062","02-05-26","2026-05-03","K02","4","134.34","0","86.09","P029 | Produkt szkoleniowy 29 | Komputery","Klient 0087  ;  VIP","Zachód","Zrealizowane","legacy_source","Sklep","Retail"
"T000063","31-12-25","03-01-26","K02","6","110.08","0.1","62.43","P002 | Produkt szkoleniowy 02 | Elektronika","Klient 0131  ;  VIP","Zachód","Zrealizowane","import_batch_02","Sklep","Retail"
"T000064","2025-04-01","04-04-25","K02","4","105.16","0","62.00","P030 | Produkt szkoleniowy 30 | Elektronika","Klient 0148  ;  Detal","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T000065","28-09-26","04-10-26","K01","8","184.78","0.1","109.00","P005 | Produkt szkoleniowy 05 | Komputery","Klient 0411  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T000066","21-11-25","25-11-25","K03","4","97.13","0.1","56.82","P002 | Produkt szkoleniowy 02 | Elektronika","Klient 0108  ;  Detal","Zachód","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T000067","08-05-26","2026-05-11","K02","4","104.63","0.1","57.97","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0421  ;  B2B","Południe","W realizacji","legacy_source","Sklep","Retail"
"T000068","08-09-26","15-09-26","K01","4","135.18","0.1","78.55","P037 | Produkt szkoleniowy 37 | Komputery","Klient 0465  ;  B2B","Północ","Zrealizowane","legacy_source","Online","E-commerce"
"T000069","21-05-26","2026-05-22","K03","8","153.23","0.1","98.34","P013 | Produkt szkoleniowy 13 | Komputery","Klient 0465  ;  B2B","Południe","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T000070","30-03-26","01-04-26","K01","3","97.11","0.1","48.14","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0290  ;  B2C","Północ","Zrealizowane","legacy_source","Online","E-commerce"
"T000071","2025-11-08","12-11-25","K03","15","106.71","0.1","59.02","P002 | Produkt szkoleniowy 02 | Elektronika","Klient 0361  ;  B2B","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T000072","20-11-26","23-11-26","K02","3","179.14","0","108.94","P005 | Produkt szkoleniowy 05 | Komputery","Klient 0013  ;  B2B","Wschód","W realizacji","import_batch_02","Sklep","Retail"
"T000073","06-10-25","2025-10-13","K01","3","172.80","0.05","103.81","P005 | Produkt szkoleniowy 05 | Komputery","Klient 0280  ;  Detal","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T000074","2026-10-07","09-10-26","K04","1","127.24","0","29.97","P024 | Produkt szkoleniowy 24 | Oprogramowanie","Klient 0451  ;  VIP","Południe","W realizacji","legacy_source","Telefon","Inside Sales"
"T000075","09-11-26","13-11-26","K03","8","97.10","0.05","46.19","P023 | Produkt szkoleniowy 23 | Akcesoria","Klient 0301  ;  B2B","Zachód","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T000076","02-11-26","2026-11-05","K04","3","133.09","0","31.23","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0275  ;  VIP","Południe","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T000077","27-12-26","2026-12-30","K02","7","111.55","0","26.22","P004 | Produkt szkoleniowy 04 | Oprogramowanie","Klient 0388  ;  detal","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T000078","2026-10-12","16-10-26","K01","9","117.34","0.05","28.00","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0325  ;  B2B","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T000079","01-11-26","05-11-26","K02","3","76.62","0.05","18.54","P020 | Produkt szkoleniowy 20 | Oprogramowanie","Klient 0240  ;  Detal","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T000080","16-11-25","18-11-25","K02","5","127.20","0.1","72.16","P006 | Produkt szkoleniowy 06 | Elektronika","Klient 0310  ;  B2C","Wschód","Zrealizowane","legacy_source","Sklep","Retail"
"T000081","21-10-26","22-10-26","K02","2","129.66","0","80.59","P001 | Produkt szkoleniowy 01 | Komputery","Klient 0475  ;  VIP","Wschód","Zrealizowane","import_batch_02","Sklep","Retail"
"T000082","2025-11-02","03-11-25","K01","5","89.15","0.05","22.52","P004 | Produkt szkoleniowy 04 | Oprogramowanie","Klient 0039  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T000083","22-09-25","24-09-25","K02","7","93.21","0.05","21.96","P032 | Produkt szkoleniowy 32 | Oprogramowanie","Klient 0280  ;  Detal","Północ","Zrealizowane","legacy_source","Sklep","Retail"
"T000084","17-08-26","2026-08-18","K01","4","97.30","0.2","54.96","P002 | Produkt szkoleniowy 02 | Elektronika","Klient 0372  ;  Detal","Zachód","Zrealizowane","import_batch_02","Online","E-commerce"
"T000085","15-12-25","17-12-25","K02","5","94.25","0","21.98","P004 | Produkt szkoleniowy 04 | Oprogramowanie","Klient 0003  ;  VIP","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T000086","17-10-25","18-10-25","K04","2","136.09","0.1","34.36","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0042  ;  B2C","Zachód","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T000087","31-08-26","05-09-26","K01","6","145.15","0","87.44","P013 | Produkt szkoleniowy 13 | Komputery","Klient 0271  ;  VIP","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T000088","23-09-26","2026-09-26","K01","6","85.68","0.05","21.53","P020 | Produkt szkoleniowy 20 | Oprogramowanie","Klient 0361  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T000089","30-09-25","02-10-25","K02","3","94.57","0","57.06","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0135  ;  VIP","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T000090","2026-05-19","20-05-26","K02","5","67.41","0","32.74","P019 | Produkt szkoleniowy 19 | Akcesoria","Klient 0303  ;  VIP","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T000091","22-04-25","23-04-25","K03","17","78.89","0.1","19.06","P036 | Produkt szkoleniowy 36 | Oprogramowanie","Klient 0197  ;  B2B","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T000092","24-09-25","01-10-25","K01","9","119.79","0","77.38","P045 | Produkt szkoleniowy 45 | Komputery","Klient 0035  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T000093","13-10-25","20-10-25","K01","4","88.72","0","22.89","P020 | Produkt szkoleniowy 20 | Oprogramowanie","Klient 0451  ;  VIP","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T000094","14-12-26","18-12-26","K01","9","117.95","0","72.14","P001 | Produkt szkoleniowy 01 | Komputery","Klient 0203  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T000095","2026-05-15","16-05-26","K01","7","107.13","0.1","49.34","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0073  ;  B2B","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T000096","03-11-26","2026-11-05","K02","1","104.62","0","59.31","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0461  ;  B2B","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T000097","30-05-26","03-06-26","K02","2","155.81","0.1","93.25","P041 | Produkt szkoleniowy 41 | Komputery","Klient 0011  ;  VIP","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T000098","27-08-26","2026-08-30","K01","3","129.30","0","76.53","P034 | Produkt szkoleniowy 34 | Elektronika","Klient 0343  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T000099","18-10-26","22-10-26","K01","3","95.12","0","24.19","P004 | Produkt szkoleniowy 04 | Oprogramowanie","Klient 0325  ;  B2B","Północ","Zrealizowane","import_batch_02","Online","E-commerce"
"T000100","26-10-26","30-10-26","K04","7","126.84","0.05","32.92","P016 | Produkt szkoleniowy 16 | Oprogramowanie","Klient 0275  ;  VIP","Południe","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T000101","26-03-25","30-03-25","K02","3","64.33","0","30.79","P047 | Produkt szkoleniowy 47 | Akcesoria","Klient 0207  ;  VIP","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T000102","28-10-25","01-11-25","K03","5","98.52","0.05","56.05","P002 | Produkt szkoleniowy 02 | Elektronika","Klient 0133  ;  B2B","Południe","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T000103","23-10-26","30-10-26","K01","10","174.66","0","106.45","P005 | Produkt szkoleniowy 05 | Komputery","Klient 0407  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T000104","11-10-26","2026-10-15","K01","4","177.41","0","106.97","P017 | Produkt szkoleniowy 17 | Komputery","Klient 0355  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T000105","15-12-25","2025-12-20","K01","10","72.01","0.05","18.37","P036 | Produkt szkoleniowy 36 | Oprogramowanie","Klient 0169  ;  B2B","Zachód","Zrealizowane","import_batch_02","Online","E-commerce"
"T000106","04-03-26","2026-03-08","K02","7","115.64","0","67.19","P014 | Produkt szkoleniowy 14 | Elektronika","Klient 0113  ;  B2B","Wschód","Zrealizowane","legacy_source","Sklep","Retail"
"T000107","11-08-25","14-08-25","K02","3","108.87","0","26.81","P004 | Produkt szkoleniowy 04 | Oprogramowanie","Klient 0135  ;  VIP","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T000108","2025-12-22","2025-12-24","K04","7","145.33","0.2","87.71","P042 | Produkt szkoleniowy 42 | Elektronika","Klient 0217  ;  B2B","Południe","Zrealizowane","import_batch_02","Telefon","Inside Sales"
"T000109","26-02-25","28-02-25","K02","5","74.52","0","36.65","P031 | Produkt szkoleniowy 31 | Akcesoria","Klient 0481  ;  B2B","Zachód","Zrealizowane","legacy_source","Sklep","Retail"
"T000110","2025-09-10","11-09-25","K02","3","73.00","0","36.56","P011 | Produkt szkoleniowy 11 | Akcesoria","Klient 0421  ;  B2B","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T000111","02-11-26","05-11-26","K03","7","85.59","0.1","42.94","P003 | Produkt szkoleniowy 03 | Akcesoria","Klient 0193  ;  B2B","Południe","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T000112","24-12-26","2026-12-25","K04","3","129.09","0.1","76.40","P014 | Produkt szkoleniowy 14 | Elektronika","Klient 0021  ;  B2B","Południe","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T000113","14-06-26","20-06-26","K01","5","117.44","0.1","30.05","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0051  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T000114","25-12-26","29-12-26","K02","3","80.79","0","19.49","P048 | Produkt szkoleniowy 48 | Oprogramowanie","Klient 0235  ;  VIP","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T000115","2026-04-29","30-04-26","K03","10","120.53","0.1","67.90","P030 | Produkt szkoleniowy 30 | Elektronika","Klient 0481  ;  B2B","Północ","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T000116","30-10-26","03-11-26","K03","5","112.81","0.1","29.29","P040 | Produkt szkoleniowy 40 | Oprogramowanie","Klient 0255  ;  VIP","Zachód","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T000117","04-12-26","2026-12-07","K02","6","111.93","0.05","29.09","P032 | Produkt szkoleniowy 32 | Oprogramowanie","Klient 0031  ;  VIP","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T000118","08-05-26","2026-05-09","K01","9","153.96","0","99.19","P049 | Produkt szkoleniowy 49 | Komputery","Klient 0023  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T000119","04-12-25","11-12-25","K01","9","94.24","0","52.26","P038 | Produkt szkoleniowy 38 | Elektronika","Klient 0235  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T000120","21-10-26","25-10-26","K03","16","82.21","0.05","48.69","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0134  ;  B2C","Północ","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T000121","2026-10-05","09-10-26","K03","9","120.43","0.1","75.48","P009 | Produkt szkoleniowy 09 | Komputery","Klient 0356  ;  Detal","Zachód","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T000122","13-10-26","15-10-26","K03","13","151.68","0.1","92.42","P005 | Produkt szkoleniowy 05 | Komputery","Klient 0124  ;  Detal","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T000123","2025-10-14","20-10-25","K01","7","158.08","0.05","96.05","P034 | Produkt szkoleniowy 34 | Elektronika","Klient 0249    ;  B2B","Zachód","Zrealizowane","import_batch_02","Online","E-commerce"
"T000124","2025-06-16","17-06-25","K01","1","96.37","0.2","43.56","P015 | Produkt szkoleniowy 15 | Akcesoria","Klient 0379  ;  VIP","Zachód","W realizacji","legacy_source","Online","E-commerce"
"T000125","2025-12-19","2025-12-23","K03","12","154.02","0.1","96.79","P013 | Produkt szkoleniowy 13 | Komputery","Klient 0439  ;  VIP","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T000126","2026-01-15","18-01-26","K02","6","121.44","0.05","72.19","P030 | Produkt szkoleniowy 30 | Elektronika","Klient 0353  ;  B2B","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T000127","28-12-26","01-01-27","K03","13","104.38","0.1","47.75","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0212  ;  Detal","Północ","W realizacji","legacy_source","Partner","B2B / Partner"
"T000128","08-10-26","10-10-26","K03","10","66.97","0.1","17.03","P036 | Produkt szkoleniowy 36 | Oprogramowanie","Klient 0211  ;  VIP","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T000129","2026-11-22","2026-11-26","K02","6","163.77","0.1","94.66","P026 | Produkt szkoleniowy 26 | Elektronika","Klient 0093  ;  B2B","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T000130","2026-12-29","31-12-26","K03","18","111.87","0.1","65.74","P009 | Produkt szkoleniowy 09 | Komputery","Klient 0133  ;  B2B","Zachód","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T000131","2026-03-27","30-03-26","K03","7","205.26","0.05","124.60","P017 | Produkt szkoleniowy 17 | Komputery","Klient 0286  ;  B2C","Południe","Anulowane","legacy_source","Partner","B2B / Partner"
"T000132","21-12-26","22-12-26","K02","5","155.26","0.1","96.56","P049 | Produkt szkoleniowy 49 | Komputery","Klient 0243  ;  VIP","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T000133","2025-09-16","20-09-25","K03","14","122.10","0.1","30.23","P016 | Produkt szkoleniowy 16 | Oprogramowanie","Klient 0131  ;  VIP","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
